nature_recat,year,n,mean_call_to_arrive_min,p90_call_to_arrive_min
burglary,all,270,10.970065359477124,19.606666666666662
domestic_problem,all,780,11.853072625698324,19.125
suspicious,all,5788,6.278428553169726,16.2
violent_crime,all,156,12.154128440366973,21.45333333333334
burglary,2022,32,13.382777777777777,20.760000000000005
burglary,2023,91,10.682209737827716,19.346666666666668
burglary,2024,83,11.457777777777778,21.886666666666667
burglary,2025,64,9.603825136612022,14.7
domestic_problem,2022,90,11.677153558052435,17.44
domestic_problem,2023,258,11.66290780141844,18.546666666666667
domestic_problem,2024,240,11.551674277016742,18.29
domestic_problem,2025,192,12.583429672447014,20.666666666666668
suspicious,2022,582,7.536646785950961,17.36
suspicious,2023,2052,6.228830283458917,17.488333333333333
suspicious,2024,1785,6.4352801812937805,15.955
suspicious,2025,1369,5.636135812449473,14.923333333333334
violent_crime,2022,28,12.076666666666666,27.026666666666664
violent_crime,2023,55,14.026068376068377,27.810000000000027
violent_crime,2024,38,9.812345679012346,17.740000000000006
violent_crime,2025,35,11.846428571428572,19.48
